epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,31646.8,1.15875,0.67827,1.03684,0.84938,0.80103,0.85575,0.48829,1.44194,0.83109,1.13235,0.000416,0.000416,0.000416
82,32037.2,1.15292,0.67054,1.03263,0.8656,0.79897,0.86086,0.49273,1.43583,0.83084,1.13066,0.0003962,0.0003962,0.0003962
83,32427.2,1.13961,0.66311,1.03217,0.82421,0.81753,0.85749,0.48644,1.4626,0.83676,1.13208,0.0003764,0.0003764,0.0003764
84,32818.6,1.13914,0.66313,1.03085,0.8578,0.80227,0.86257,0.49021,1.44314,0.84158,1.12136,0.0003566,0.0003566,0.0003566
85,33208.7,1.12585,0.65636,1.02743,0.85421,0.80335,0.85907,0.49495,1.43945,0.84058,1.12263,0.0003368,0.0003368,0.0003368
86,33598.9,1.13827,0.66233,1.02975,0.85282,0.80825,0.86303,0.49529,1.42938,0.82616,1.1217,0.000317,0.000317,0.000317
87,33988.1,1.12418,0.64642,1.02459,0.86227,0.79388,0.85904,0.49354,1.43815,0.83003,1.1233,0.0002972,0.0002972,0.0002972
88,34379.2,1.1228,0.65811,1.02677,0.84818,0.79175,0.86018,0.49815,1.42505,0.8285,1.12128,0.0002774,0.0002774,0.0002774
89,34769.6,1.11893,0.64544,1.02398,0.83888,0.81649,0.85392,0.48339,1.44667,0.83898,1.12851,0.0002576,0.0002576,0.0002576
90,35158.8,1.11798,0.65268,1.02299,0.85181,0.81959,0.86849,0.48879,1.45153,0.8431,1.14152,0.0002378,0.0002378,0.0002378
91,35545.6,1.07322,0.58013,1.00958,0.84472,0.80196,0.85706,0.48368,1.45724,0.85039,1.13476,0.000218,0.000218,0.000218
92,35934.1,1.04094,0.55906,0.99049,0.82943,0.81959,0.8587,0.4904,1.43714,0.84179,1.12836,0.0001982,0.0001982,0.0001982
93,36321.5,1.02692,0.55068,0.98849,0.85861,0.81385,0.86513,0.49044,1.44323,0.83265,1.1358,0.0001784,0.0001784,0.0001784
94,36710,1.01231,0.54764,0.9787,0.82843,0.81649,0.86271,0.49098,1.43055,0.83202,1.12851,0.0001586,0.0001586,0.0001586
95,37098.5,1.00816,0.53688,0.98034,0.85182,0.80599,0.86224,0.49712,1.42319,0.83693,1.12274,0.0001388,0.0001388,0.0001388
96,37486.1,1.00806,0.53732,0.97903,0.85118,0.80193,0.85955,0.49142,1.43296,0.83918,1.13143,0.000119,0.000119,0.000119
97,37873.9,0.99813,0.52993,0.97693,0.85502,0.79175,0.85925,0.49363,1.4296,0.84599,1.13191,9.92e-05,9.92e-05,9.92e-05
98,38262,0.99186,0.52533,0.97562,0.85278,0.79897,0.85988,0.49352,1.42881,0.83896,1.13332,7.94e-05,7.94e-05,7.94e-05
99,38651.2,0.99009,0.52306,0.97527,0.85193,0.78887,0.85288,0.48968,1.42959,0.85037,1.13294,5.96e-05,5.96e-05,5.96e-05
100,39039.6,0.9856,0.52311,0.97404,0.86693,0.78579,0.85593,0.49286,1.42118,0.84044,1.12815,3.98e-05,3.98e-05,3.98e-05
